,location,affected_outcome,age_start,age_end,lcl_standard,mean_standard,ucl_standard,lcl_modified,ucl_modified,mean_modified
0,Kano,mam_to_sam_rate,0.5,0.8333333333333334,0.05,0.31000000000000005,0.6900000000000001,1.0,1.0,1.0
1,Kano,mam_to_sam_rate,0.8333333333333334,1.5,0.7177002453220295,0.8084344591728564,0.9056949746201344,1.0,1.0,1.0
2,Kano,mild_to_mam_rate,0.5,0.8333333333333334,0.21000000000000002,0.45,0.79,1.0,1.0,1.0
3,Kano,mild_to_mam_rate,0.8333333333333334,1.5,0.8519739769795875,0.9088163419687505,0.9655363742062206,1.0,1.0,1.0
4,Kano,moderate_stunting_prevalence_ratio,0.5,5.0,0.86,0.89,0.93,1.0,1.0,1.0
5,Kano,severe_stunting_prevalence_ratio,0.5,5.0,0.78,0.83,0.9,1.0,1.0,1.0
6,Kano,tmrel_to_mild_rate,0.5,0.8333333333333334,0.5499999999999999,0.6900000000000001,0.87,1.0,1.0,1.0
7,Kano,tmrel_to_mild_rate,0.8333333333333334,1.5,0.8286648910540735,0.882224114542753,0.955723910282146,1.0,1.0,1.0
8,Abia,mam_to_sam_rate,0.5,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0
9,Abia,mam_to_sam_rate,0.8333333333333334,1.5,1.0,1.0,1.0,1.0,1.0,1.0
10,Abia,mild_to_mam_rate,0.5,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0
11,Abia,mild_to_mam_rate,0.8333333333333334,1.5,1.0,1.0,1.0,1.0,1.0,1.0
12,Abia,moderate_stunting_prevalence_ratio,0.5,5.0,1.0,1.0,1.0,1.0,1.0,1.0
13,Abia,severe_stunting_prevalence_ratio,0.5,5.0,1.0,1.0,1.0,1.0,1.0,1.0
14,Abia,tmrel_to_mild_rate,0.5,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0
15,Abia,tmrel_to_mild_rate,0.8333333333333334,1.5,1.0,1.0,1.0,1.0,1.0,1.0
16,Adamawa,mam_to_sam_rate,0.5,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0
17,Adamawa,mam_to_sam_rate,0.8333333333333334,1.5,1.0,1.0,1.0,1.0,1.0,1.0
18,Adamawa,mild_to_mam_rate,0.5,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0
19,Adamawa,mild_to_mam_rate,0.8333333333333334,1.5,1.0,1.0,1.0,1.0,1.0,1.0
