,location,age_start,age_end,affected_outcome,lower,median,upper,location_id,national_id,effect_size
0,Abia,0.5,0.833333333,mam_to_sam_rate,0.05,0.51,1.0,25318,214,modified
1,Abia,0.5,0.833333333,mild_to_mam_rate,0.37,0.81,1.0,25318,214,modified
2,Abia,0.5,0.833333333,tmrel_to_mild_rate,0.59,0.85,1.0,25318,214,modified
3,Abia,0.833333333,1.5,mam_to_sam_rate,0.64,0.82,1.0,25318,214,modified
4,Abia,0.833333333,1.5,mild_to_mam_rate,0.92,0.99,1.0,25318,214,modified
5,Abia,0.833333333,1.5,tmrel_to_mild_rate,0.68,0.89,1.0,25318,214,modified
6,Abia,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25318,214,modified
7,Abia,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25318,214,modified
8,Adamawa,0.5,0.833333333,mam_to_sam_rate,0.05,0.57,1.0,25319,214,modified
9,Adamawa,0.5,0.833333333,mild_to_mam_rate,0.59,0.91,1.0,25319,214,modified
10,Adamawa,0.5,0.833333333,tmrel_to_mild_rate,0.67,0.89,1.0,25319,214,modified
11,Adamawa,0.833333333,1.5,mam_to_sam_rate,0.63,0.81,1.0,25319,214,modified
12,Adamawa,0.833333333,1.5,mild_to_mam_rate,0.94,0.99,1.0,25319,214,modified
13,Adamawa,0.833333333,1.5,tmrel_to_mild_rate,0.71,0.9,1.0,25319,214,modified
14,Adamawa,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25319,214,modified
15,Adamawa,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25319,214,modified
16,Akwa Ibom,0.5,0.833333333,mam_to_sam_rate,0.05,0.51,1.0,25320,214,modified
17,Akwa Ibom,0.5,0.833333333,mild_to_mam_rate,0.35,0.81,1.0,25320,214,modified
18,Akwa Ibom,0.5,0.833333333,tmrel_to_mild_rate,0.59,0.87,1.0,25320,214,modified
19,Akwa Ibom,0.833333333,1.5,mam_to_sam_rate,0.64,0.83,1.0,25320,214,modified
20,Akwa Ibom,0.833333333,1.5,mild_to_mam_rate,0.9,0.98,1.0,25320,214,modified
21,Akwa Ibom,0.833333333,1.5,tmrel_to_mild_rate,0.69,0.9,1.0,25320,214,modified
22,Akwa Ibom,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25320,214,modified
23,Akwa Ibom,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25320,214,modified
24,Anambra,0.5,0.833333333,mam_to_sam_rate,0.05,0.53,1.0,25321,214,modified
25,Anambra,0.5,0.833333333,mild_to_mam_rate,0.49,0.87,1.0,25321,214,modified
26,Anambra,0.5,0.833333333,tmrel_to_mild_rate,0.65,0.89,1.0,25321,214,modified
27,Anambra,0.833333333,1.5,mam_to_sam_rate,0.65,0.83,1.0,25321,214,modified
28,Anambra,0.833333333,1.5,mild_to_mam_rate,0.93,0.99,1.0,25321,214,modified
29,Anambra,0.833333333,1.5,tmrel_to_mild_rate,0.71,0.91,1.0,25321,214,modified
30,Anambra,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,25321,214,modified
31,Anambra,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,25321,214,modified
32,Azad Jammu & Kashmir,0.5,0.833333333,mam_to_sam_rate,0.05,0.59,1.0,53615,165,modified
33,Azad Jammu & Kashmir,0.5,0.833333333,mild_to_mam_rate,0.63,0.93,1.0,53615,165,modified
34,Azad Jammu & Kashmir,0.5,0.833333333,tmrel_to_mild_rate,0.23,0.77,1.0,53615,165,modified
35,Azad Jammu & Kashmir,0.833333333,1.5,mam_to_sam_rate,0.64,0.81,1.0,53615,165,modified
36,Azad Jammu & Kashmir,0.833333333,1.5,mild_to_mam_rate,0.99,0.99,1.0,53615,165,modified
37,Azad Jammu & Kashmir,0.833333333,1.5,tmrel_to_mild_rate,0.74,0.93,1.0,53615,165,modified
38,Azad Jammu & Kashmir,0.0,5.0,moderate_stunting_prevalence_ratio,0.77,0.87,1.02,53615,165,modified
39,Azad Jammu & Kashmir,0.0,5.0,severe_stunting_prevalence_ratio,0.83,0.92,0.98,53615,165,modified
40,Balochistan,0.5,0.833333333,mam_to_sam_rate,0.05,0.05,0.33,53616,165,modified
41,Balochistan,0.5,0.833333333,mild_to_mam_rate,0.19,0.35,0.63,53616,165,modified
42,Balochistan,0.5,0.833333333,tmrel_to_mild_rate,0.57,0.71,0.89,53616,165,modified
43,Balochistan,0.833333333,1.5,mam_to_sam_rate,0.5,0.5,0.95,53616,165,modified
44,Balochistan,0.833333333,1.5,mild_to_mam_rate,0.85,0.85,0.93,53616,165,modified
45,Balochistan,0.833333333,1.5,tmrel_to_mild_rate,0.69,0.93,0.94,53616,165,modified
46,Balochistan,0.0,5.0,moderate_stunting_prevalence_ratio,0.78,0.83,0.93,53616,165,modified
47,Balochistan,0.0,5.0,severe_stunting_prevalence_ratio,0.65,0.78,0.89,53616,165,modified
48,Bauchi,0.5,0.833333333,mam_to_sam_rate,0.05,0.57,1.0,25322,214,modified
49,Bauchi,0.5,0.833333333,mild_to_mam_rate,0.53,0.89,1.0,25322,214,modified
50,Bauchi,0.5,0.833333333,tmrel_to_mild_rate,0.63,0.89,1.0,25322,214,modified
51,Bauchi,0.833333333,1.5,mam_to_sam_rate,0.63,0.85,1.0,25322,214,modified
